claim_id,claim_type,status,confidence,title,claim_text,primary_basis,linked_mechanics,linked_contradictions,linked_unknowns
CL-0001,mechanic_claim,Confirmed,High,Water Worlds are orbital-only for construction,"Water Worlds in the current repository evidence should be treated as having no surface construction slots","OBS-0001; EXP-0000","M-0001","",""
CL-0002,mechanic_claim,Confirmed,High,Station economy is inherited,"Colony station economy should not be treated as a direct player-selectable value","OBS-0002; EXP-0000","M-0002; M-0007","","U-0001"
CL-0003,mechanic_claim,Confirmed_Narrow,High,One weak Refinery link was insufficient in the tested Wregoe case,"A single weak Refinery link did not restore Steel Titanium or Aluminium in the documented Dodec case","OBS-0003; EXP-0000; EV-0002","M-0003; M-0006","C-0004","U-0002; U-0005"
CL-0004,evidence_claim,Observed,High,A4 post-build facility set included two High Tech Hubs,"The Rocha Liberty evidence set shows A4 after the intended High Tech support build completed","OBS-0004; EV-0001","CS-0001","",""
CL-0005,evidence_claim,Observed,High,Rocha Liberty showed strong High Tech and Industrial support after build,"Rocha Liberty displayed strong Industrial x2 and High Tech x2 links plus multiple weak links in the post-build state","OBS-0005; EV-0001","M-0006","","U-0006"
CL-0006,evidence_claim,Observed,High,Rocha Liberty exposed mixed economies after build,"Rocha Liberty advertised Industrial High Tech Extraction Military and Refinery in the post-build state","OBS-0006; EV-0001","M-0007","","U-0001"
CL-0007,evidence_claim,Observed,High,Rocha Liberty showed multiple High Tech-style commodities after build,"Post-build evidence showed Computer Components Auto-Fabricators Robotics Micro Controllers and Advanced Catalysers among visible commodities","OBS-0007; EV-0001","M-0007; CS-0001","","U-0001; U-0002"
CL-0008,planner_state_claim,Observed,Medium,Raven projected deficits and placeholder plans were visible,"Raven planning screenshots showed unmet build-point needs and placeholder-style planned or unbuilt facilities","OBS-0008; OBS-0009; EV-0002","M-0004","","U-0009; U-0010"
CL-0009,preview_claim,Observed,High,Apollo and Artemis Orbis previews looked mechanically identical on shown bars,"No visible colony-effect bar differences were observed between Apollo and Artemis Orbis layout previews","OBS-0010; EV-0003","M-0005","","U-0003"
CL-0010,preview_claim,Observed,Medium,No reliable station-class superiority was shown in the preview evidence,"The available Orbis Ocellus and Dodec previews did not demonstrate clear mechanical superiority on the shown bars","OBS-0011; EV-0003","M-0005; M-0007","C-0002","U-0003; U-0004"
CL-0011,experimental_prediction,Pending,Medium,A4 High Tech promotion is expected to broaden total material coverage,"The current A4 experiment predicts that raising High Tech to second place may improve whole-colony construction-material coverage","OBS-0012; OBS-0013; EXP-0001","CS-0001; M-0007; M-0008","","U-0001; U-0002"
CL-0012,source_governance_claim,Confirmed,High,Absent primary artifacts are only indirectly represented,"The repository does not yet contain the underlying Mega Guide spreadsheet and flowchart artifacts and therefore cannot claim direct page-level extraction from them","docs/source_coverage_register.md; EV-0004","R-0009","",""
