system_name,public_source,evidence_basis,why_inspect,confidence,source_review_reference
Col 285 Sector HD-F b13-1,https://inara.cz/elite/starsystem/?prm1=176553,"Public Inara system page with architect, multiple completed ports, and multiple active construction sites","Strong mixed-state example with many facilities visible",High,"evidence/colonisation_ai_data_sources_review.md"
Col 285 Sector NE-D b14-2,https://inara.cz/elite/starsystem/?prm1=208312,"Public Inara page snippet with architect, economy pair, population, and traffic","Good refinery and extraction validation target",Medium,"evidence/colonisation_ai_data_sources_review.md"
Col 285 Sector ID-Q b6-3,https://inara.cz/elite/starsystem/89290/,"Public Inara page snippet with architect and mature population","Good matured extraction and refinery example",Medium,"evidence/colonisation_ai_data_sources_review.md"
Col 285 Sector VG-H b12-0,https://inara.cz/elite/starsystem/441231/,"Public Inara page snippet with architect and Tourism / Agriculture profile","Useful non-industrial architecture case",Medium,"evidence/colonisation_ai_data_sources_review.md"
Col 285 Sector FG-T b18-10,https://inara.cz/elite/starsystem/273062/,"Public Inara page snippet with architect and Extraction / Refinery economy","Good extraction-heavy comparison case",Medium,"evidence/colonisation_ai_data_sources_review.md"
Col 285 Sector CK-X b2-3,https://inara.cz/elite/starsystem/480548/,"Public Inara page snippet with architect and Industrial / Extraction profile","Good industry and extraction mixed case",Medium,"evidence/colonisation_ai_data_sources_review.md"
Col 285 Sector NN-K c8-13,https://inara.cz/elite/cmdr-architect/447709/,"Public architect page linking a commander to the named colonised system","Useful architect-attribution validation case",Medium,"evidence/colonisation_ai_data_sources_review.md"
HIP 34621,https://inara.cz/elite/starsystem/144338/,"Public Inara page snippet with architect and High Tech / Agriculture pair","Good mixed-economy validation case",Medium,"evidence/colonisation_ai_data_sources_review.md"
HIP 58859,https://inara.cz/elite/starsystem/204094/,"Public Inara page snippet with architect and Extraction / Refinery pair","Good independent-system comparison outside Col 285 cluster",Medium,"evidence/colonisation_ai_data_sources_review.md"
Hyades Sector CQ-Y d84,https://inara.cz/elite/starsystem/57235/,"Public Inara page snippet listing multiple starports and a construction site","Good visible multi-port colony example",Medium,"evidence/colonisation_ai_data_sources_review.md"
Wregoe IS-L b49-4,https://inara.cz/elite/starsystem/909246/,"Public Inara page snippet with architect and Extraction / Industrial profile","Good Wregoe-region construction-supply candidate",Medium,"evidence/colonisation_ai_data_sources_review.md"
Wregoe NA-W b57-4,https://inara.cz/elite/starsystem/2479407/,"Public Inara page snippet with architect and Refinery / Industrial profile","Good Wregoe-region comparison case",Medium,"evidence/colonisation_ai_data_sources_review.md"
Wregoe OO-P b33-0,https://inara.cz/elite/,"Public Inara snippet describing the system in a colony narrative context","Good named build-diary lead with narrative evidence",Low-Medium,"evidence/colonisation_ai_data_sources_review.md"
Synuefe EN-H d11-25,https://inara.cz/elite/starsystem/176872/,"Public Inara page snippet showing claimed architect state","Useful for inspecting lightly-developed or newer claim state",Medium,"evidence/colonisation_ai_data_sources_review.md"
Col 285 Sector JD-G b25-8,https://inara.cz/elite/board-thread/1/489033/,"Public Inara support thread discussing architect correction for this colonised system","Good anomaly and metadata-correction case",Medium,"evidence/colonisation_ai_data_sources_review.md"
Trapezium Sector EB-W c2-10,https://inara.cz/elite/board-thread/1/489033/,"Public thread references ghost construction site and a long-completed surface port","Good finished-build plus stale-public-data case",Medium,"evidence/colonisation_ai_data_sources_review.md"
Synuefe FZ-D D13-80,https://inara.cz/elite/board-thread/1/489033/,"Public thread references incorrect architect attribution and correction workflow","Good disputed-attribution case",Medium,"evidence/colonisation_ai_data_sources_review.md"
Synuefe KF-E b45-3,https://inara.cz/elite/board-thread/1/489033/,"Public thread references architect correction request","Good architect-validation case",Medium,"evidence/colonisation_ai_data_sources_review.md"
Col 285 Sector YU-P c5-13,https://forums.frontier.co.uk/threads/raven-colonial.639577/,"Raven Colonial thread explicitly discusses this colony system loading in the planner","Good public planner-visible example",Medium,"evidence/colonisation_ai_data_sources_review.md"
Synuefai KJ-S c20-4,https://forums.frontier.co.uk/threads/raven-colonial.639577/,"Raven Colonial thread discusses partial data visibility for this colony system","Good test case for what public tools miss",Medium,"evidence/colonisation_ai_data_sources_review.md"
Synuefai LJ-S c20-10,https://forums.frontier.co.uk/threads/raven-colonial.639577/,"Raven Colonial thread confirms public loading of this under-colonised system page","Good boundary-case inspection target",Medium,"evidence/colonisation_ai_data_sources_review.md"
