verification_id,title,primary_target,method_type,required_state,primary_observations,success_condition,linked_mechanics
LV-0001,A4 High Tech threshold and commodity coverage,"A4 High Tech promotion","Before and after live comparison","A4 before-state plus post-build after-state","Economy shares, commodity list, missing construction materials, supporting links","Detect whether High Tech promotion materially improves whole-colony material coverage","M-0007; M-0008"
LV-0002,Post-build station-class market differences,"Orbis versus Ocellus versus Dodec","Parallel post-build comparison","Comparable colony-type builds on comparable bodies","Services, commodities, missions, visible economy behavior, market links","Detect any repeatable post-build difference not visible in preview","M-0005; M-0007"
LV-0003,Refinery threshold for metals at the Dodec,"Weak Refinery support on the Dodec","Stepwise intervention","Stable Dodec baseline with absent Steel Titanium Aluminium","Market links, economy shares, commodity list after each incremental change","Identify minimum intervention that restores the missing metals","M-0003; M-0006"
LV-0004,Local body modifier non-stacking,"Body modifiers versus inherited economies","Comparative body test","Bodies chosen to isolate rings organics and geological traits","Preview economy shares and final observed economy behavior","Determine whether modifiers stack, override, or remain single-application","M-0008"
LV-0005,Main Port routing and link aggregation,"Main surface and orbital port routing","Topology and link-screen observation","Body with both main surface and main orbital ports plus supporting facilities","Visible Market Links, main-port assignment, commodity changes after isolated edits","Determine whether visible arrows aggregate upstream contributions through a main-port path","M-0004; M-0006"
LV-0006,Strong-link modifier exact values and additive stacking,"Boosted and penalized strong links","Comparative numeric routing test","Body and system combinations that isolate single and stacked link modifiers","Visible Market Links, economy percentages, link deltas under controlled body conditions","Determine whether strong-link modifiers are additive ±0.4 changes with a 0.1 floor","M-0006; M-0010"
LV-0007,Same-strength economy tie ordering,"Economy ties at equal strength","Controlled tie-case build","Port states where at least two economies are held at equal strength","Displayed order, interior selection, market summary after controlled equalization","Determine whether equal-strength economies are ranked alphabetically in live builds","M-0010"
LV-0008,Body-specific population multipliers,"Under-sampled body and facility combinations","Longitudinal population capture","New builds on body classes that still have TBD population multipliers","Weekly population, output snapshots, body class, facility class","Fill the missing body-specific multiplier rows with directly observed values","M-0012"
LV-0009,Demolition and population decay,"Population after facility demolition","Before and after destructive comparison","Facility with stable recorded population before demolition","Population before demolition, population after demolition, downstream output effects","Determine whether demolition actually removes the associated population","M-0012; M-0013"
LV-0010,Settlement pad-size divergence by variant,"Advertised versus real landing access","Variant-level landing validation","Settlement variants suspected of pad metadata mismatch","Advertised pad size, actual docking access by ship size, variant name","Map which settlement variants misreport pad availability","M-0009; M-0013"
