observation_id,source_id,context,observation_type,statement,confidence,related_mechanics,planner_relevance
OBS-0001,EXP-0000,"Wregoe Water World planning",live_observation,"Water Worlds in the Wregoe project could not receive surface facilities",High,"M-0001","Hard feasibility constraint for body selection"
OBS-0002,EXP-0000,"Wregoe station planning",live_observation,"Station economy could not be manually selected and had to be reasoned through body and link context",High,"M-0002","Blocks fake choose-economy planner outputs"
OBS-0003,EXP-0000,"A5 Dodec with A7D Silenus link",live_observation,"One weak Refinery link from A7D to the A5 Dodec did not restore Steel Titanium or Aluminium",High,"M-0003; M-0006","Constrains weak-link repair advice"
OBS-0004,EV-0001,"A4 Rocha Liberty after two High Tech Hubs",facility_state,"Post-build A4 visible facility set included one Industrial Hub, one Industrial Surface Outpost, one Large Industrial Settlement, and two High Tech Hubs",High,"M-0007; CS-0001","Confirms the intended A4 support-body intervention occurred"
OBS-0005,EV-0001,"Rocha Liberty Market Links after build",market_links,"Rocha Liberty showed strong Industrial x2 and High Tech x2 links plus weak Industrial x1 High Tech x1 Extraction x9 Military x5 Refinery x4",High,"M-0006","Useful for link-distribution and support-body reasoning"
OBS-0006,EV-0001,"Rocha Liberty post-build economies",economy_state,"Rocha Liberty advertised Industrial High Tech Extraction Military and Refinery in the post-build state",High,"M-0007","Supports inherited-economy and mixed-economy interpretation"
OBS-0007,EV-0001,"Rocha Liberty post-build commodities",commodity_state,"Post-build screenshots showed multiple High Tech-style commodities including Computer Components Auto-Fabricators Robotics Micro Controllers and Advanced Catalysers",High,"M-0007; CS-0001","Supports the support-body hypothesis but not before/after attribution"
OBS-0008,EV-0002,"Raven proposed-build planning state",planner_state,"Raven showed the system still needing +5 yellow and +9 green build points with security at -2 and score 196",Medium,"M-0004","Useful for separating current and projected buildability reasoning"
OBS-0009,EV-0002,"Brian naming rule",state_interpretation,"Two-word coded placeholder names should be treated as planned or unbuilt unless Brian explicitly says otherwise",High,"M-0004","Prevents proposal-state from being mistaken for completed-state"
OBS-0010,EV-0003,"Apollo versus Artemis Orbis preview",preview_observation,"Apollo and Artemis Orbis previews showed no visible difference on the listed colony-effect bars",High,"M-0005","Supports treating layout variants as cosmetic until proven otherwise"
OBS-0011,EV-0003,"Orbis Ocellus Dodec preview comparison",preview_observation,"The supplied large-pad Colony station previews did not demonstrate reliable mechanical superiority for Orbis Ocellus or Dodec on the shown bars",Medium,"M-0005; M-0007","Blocks unsupported station-class superiority claims"
OBS-0012,EXP-0001,"A4 experiment framing",baseline_state,"Before the two High Tech Hubs, A4 was Industrial-dominant with Extraction second and High Tech at about 10 percent",Medium,"M-0007; M-0008; CS-0001","Provides the intended baseline for later before/after comparison"
OBS-0013,EXP-0001,"A4 experiment prediction",predicted_outcome,"The intended intervention predicts High Tech will rise to about 250 percent and become the second-ranked A4 economy",Medium,"M-0007; M-0008","Useful as a testable prediction, not as an observed result"
